RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023,2/28/2023,3/31/2023,4/30/2023,5/31/2023,6/30/2023,7/31/2023,8/31/2023,9/30/2023,10/31/2023,11/30/2023,12/31/2023,1/31/2024,2/29/2024,3/31/2024,4/30/2024,5/31/2024,6/30/2024,7/31/2024,8/31/2024,9/30/2024,10/31/2024,11/30/2024,12/31/2024,1/31/2025,2/28/2025
581,6,Kings County,county,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",36,047,2230.151082044494,2246.4900856462996,2271.120663450714,2290.341920210276,2313.6358671475846,2340.7775860975335,2357.1214568875653,2367.2966696872927,2381.149189949304,2391.5336364034456,2384.0190949172998,2361.2502588532916,2349.1094538641205,2352.5291920587047,2366.169512632469,2372.8492089701613,2379.8284602142285,2391.266716043799,2408.1689318056783,2423.440991837449,2430.289782770504,2428.217539665335,2429.715086240959,2416.709865256817,2407.339421142664,2396.621394775148,2401.2122304415498,2414.4844293761935,2426.495078543584,2442.196680741089,2458.8363931624526,2472.399883,2472.3854488895754,2454.7089671510153,2436.189901439071,2423.492275,2423.2951379290294,2424.9415429995292,2437.729702057157,2454.834194419631,2472.645702055216,2487.412962518882,2497.547692533347,2507.898284526023,2509.9315430399665,2501.761747008158,2487.841618080204,2470.780825,2473.595623950869,2486.295547234601,2511.7283376683426,2528.6583859707766,2551.6023571242267,2567.170611306857,2590.8441433078433,2605.777190637091,2621.0394096983414,2624.063318073483,2621.0937098815984,2613.2174541729446,2611.170303,2620.0622584796884,2635.216789739743,2630.6083915165927,2611.9862547534617,2581.3383048394817,2559.0997138384528,2524.294726473885,2478.4336210537986,2434.6275046865126,2402.5623613065613,2384.8633370038524,2377.148435916758,2384.3027340986487,2404.5346447033935,2436.2129604782745,2473.4499757456424,2523.9277815097525,2577.647616112652,2630.943438662844,2676.368003821456,2701.0231357475186,2721.6115043792624,2731.196731187139,2761.466956231795,2795.4537565211062,2845.0330070133296,2888.921098778298,2949.408093290031,3010.2548641025337,3069.191889097963,3107.143009677432,3117.3801698621173,3108.582538320517,3070.429418172825,3038.933586989722,3029.7878027747256,3044.136830650058,3067.0115234518184,3094.395107100622,3129.500403393424,3171.195520345374,3199.9159471863645,3217.7647201110317,3221.9833667133307,3204.6959824049695,3164.4459432199696,3136.964007600044,3135.1415408278363,3162.1913396671166,3190.3156822515516,3216.1100239223247,3253.209297,3288.370958692424,3314.1369449723757,3315.4816753008467,3302.6837021865167,3281.0741553464964,3255.676298581397,3226.0292955039426,3223.024922,3245.7585996455596
1347,10,Queens County,county,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",36,081,1960.6436301860595,1973.445434068709,1982.1106079759843,1985.5446542212233,1997.8150345100516,2006.818406281211,2038.6425636468625,2059.3734042697843,2073.339569746478,2071.371529937761,2065.740017105856,2069.6416665948095,2068.732660283645,2069.702353551331,2064.687857008338,2075.539687175497,2088.7283163052393,2107.8977025480144,2117.748837889888,2123.491699313349,2128.8519111949204,2136.5352918685894,2139.212893994763,2127.8788193566966,2120.6574786809615,2120.413048130983,2133.4207627961064,2139.540986524849,2149.447834224027,2161.8315201820833,2176.8252923245527,2181.8507556198283,2178.5379672616573,2163.7377714258037,2144.233347580663,2122.570652,2120.242433983299,2122.798048298112,2138.5083129253135,2151.5100268086176,2168.624203189994,2183.590046219881,2196.6983254256834,2213.976747076938,2220.3711167951174,2211.5223015619267,2203.152957712828,2198.479060803015,2201.557461760093,2207.038967129214,2208.8006656796033,2218.672293732503,2234.807348557883,2266.4022023013886,2283.053964887762,2290.318021148788,2282.4141770504048,2287.2944162397494,2275.3406980934164,2266.2081127670663,2261.610669042764,2273.4066679520847,2275.3528526112796,2265.591482612288,2260.8236268014307,2258.9467088628808,2259.0717369798585,2240.1411716964717,2214.873425355668,2196.513036632748,2186.3978974689394,2186.439846670778,2179.9186170095318,2177.3517917018553,2172.9059782909835,2174.188511770461,2179.7164978357646,2196.394855808236,2226.0343935011365,2261.801605573386,2284.5293564246244,2307.6725215485762,2322.961133275183,2348.7688134113537,2353.834518206862,2366.4624041821035,2375.114271658639,2401.2699929259807,2433.6728819220248,2474.5552665071705,2513.427638275518,2547.944066919676,2570.4172235873157,2571.936348707681,2563.6617145475025,2556.7462483509107,2559.0837864501896,2566.7235964550264,2575.393922245071,2594.384921000197,2614.4883906522205,2637.084770133761,2660.701957920445,2675.052671659625,2681.405471447343,2681.0579531616145,2669.427601662768,2675.715722,2673.2324351173534,2692.7207239049026,2710.1870480540483,2736.460072212575,2754.1120266419166,2768.5721449461535,2786.791113175274,2798.117913654454,2798.0604714590527,2790.7102604687598,2782.8504430434036,2777.458067784071,2781.999855877343,2796.7508043043167
2452,20,New York County,county,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",36,061,3097.8167145003727,3108.112456970896,3128.3551989917396,3165.089739472594,3190.7010893655447,3212.302008426995,3221.6580944717093,3231.9714395492474,3231.969155002135,3221.437575237813,3203.463566022526,3186.0753360329168,3176.1366388966917,3178.384333188055,3190.189451780564,3209.885140709527,3230.6246898912573,3249.016496735471,3265.4491821780466,3270.936810349361,3265.528242175722,3245.8919012718816,3213.3318814202253,3182.3840841869487,3172.927996890674,3183.2202320000297,3204.5866419592844,3227.005995519394,3256.0588169398975,3283.1858274174206,3295.9390477740285,3296.477225959792,3281.9600829361607,3253.312562015608,3217.2060617424713,3192.8767785889904,3186.4337100159833,3201.668919608907,3224.3645404634913,3257.266624079617,3285.7995840845433,3312.2293690034157,3331.7757775936684,3343.412326631963,3343.473011020832,3325.6973977835924,3301.4794042697195,3281.388381984917,3275.5834275453503,3286.375410223048,3306.8391519645857,3336.8293704258617,3367.5354129813954,3399.431651169079,3419.9256709577294,3432.647530349249,3430.7393388447344,3417.9840512192386,3388.7327752965493,3371.3042302972935,3366.7274094457807,3393.5680755765948,3412.3716179251624,3396.449372127645,3353.907324998117,3293.6199773894236,3230.9324996698265,,,2931.1592925718724,2859.4017566670827,2816.5799544207935,2801.007493265969,2825.7522625558295,2874.299377329064,2938.394536408566,3024.508780810092,3128.6957266588915,3248.3917053106534,3354.1870852769175,3438.9752186654378,3489.829897556439,3526.852506406071,3555.691359554317,3595.361955739643,3644.579392533975,3699.8327981383823,3754.127791240294,3818.175987953825,3887.847063701754,3947.4285350791224,3979.186921131901,3978.7490128712466,3947.4561508120205,3898.433469892039,3857.9826391623487,3842.7918103875395,3853.2128532967786,3883.3959242881233,3931.8007100431446,3984.855560028161,4034.9908579934595,4067.006487941417,4077.6644542471668,4063.437765248672,4026.7886110612653,3975.8343997050365,3928.5280109347696,3918.133771845647,3943.514028333425,3995.918143783942,4058.138388055485,4117.769252903886,4168.923051565136,4190.425757988423,4193.582025242364,4172.685206211181,4144.623936351637,4109.984916317525,4094.351902880429,4100.206604843566,4143.163645036772
2046,24,Suffolk County,county,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",36,103,5859.1729122230145,5937.808176217716,6027.246335068184,6094.845428900162,6099.188923250236,6147.291892186786,6089.26136,6091.182093711966,6068.674519859752,6136.914241394639,6183.807094568956,6278.798185915789,6342.613891108047,6399.717917554014,6321.763287,6388.8891745665105,6396.827886,6394.357296824332,6359.135322071619,6302.455100881536,6267.994989041215,6300.6196753649865,6349.858224986339,6495.663999234302,6514.538072397892,6541.516596085398,6573.975327947683,6613.892376786056,6643.890734063102,6571.329329379837,6581.803710338534,6576.34101,6755.426585624915,6860.3663094315925,6830.510337524063,6693.833600452037,6598.921767393083,6607.639751708191,6560.872642918025,6614.583090946352,6633.293319868488,6633.2338028787635,6651.208525846356,6798.843331819652,6949.060418346291,6934.005264063696,6949.082410242438,6911.631094,6993.056076890263,6995.213834916689,7107.975048361895,7105.591047546021,7141.623479567167,7172.163168,7133.053708066718,7077.991865630942,7027.0301874848465,7196.314626592664,7283.9371858888635,7416.000649809153,7361.861660585576,7375.827839,7427.965786609436,7541.3710679211335,7661.028053202846,7676.687526733389,7648.993444254715,7534.090507076595,7497.415368410656,7435.806220531095,7598.744350590368,7690.265460546784,7848.615094328942,7959.431164923818,8156.999454266761,8343.738055393362,8492.221325,8537.309315962098,8571.564570040588,8490.335416962282,8349.686932,8328.534458303757,8258.693560811418,8409.203298658567,8536.104020391465,8793.984644754948,8936.22812,9008.838564936425,9077.449090138487,9136.652128105057,9264.349895946478,9271.386156540706,9187.409771129247,9086.371595644752,9053.119200772942,9064.980328270063,9094.105284,9200.408206127508,9378.360538820203,9564.060571840166,9682.565733848538,9636.792238,9571.195427090079,9501.271392021703,9411.879053335122,9332.373270376076,9333.883564163772,9421.211534837084,9575.386922607198,9659.918666182428,9804.700954930704,9755.263006,9726.390350904221,9833.7426,10041.41076214647,10078.395563967082,9879.827805064851,9732.241465863865,9832.986873159367,10002.62821664092,10079.288036527223,10064.818062265163
401,26,Bronx County,county,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",36,005,1516.8729057781995,1523.0756388411687,1539.3652592466244,1552.1645531896884,1558.4233697326626,1567.570605021044,1583.124017870901,1605.7150128801284,1609.8576338574437,1600.9594827715987,1590.9774251402391,1600.4435800525614,1632.2726980197447,1648.676799402792,1643.7668616338306,1645.126736110458,1663.0709553820786,1692.5807713528534,1697.876148037207,1695.6444694733268,1705.5478235862226,1713.087344584101,1731.5939228518303,1736.9608026626454,1741.8009393386062,1743.9567927594087,1765.407724630207,1786.5995016826723,1802.7148123969962,1793.2017752387196,1793.566374990456,1789.4078290188938,1787.3825402355312,1800.2199816507302,1816.6263190928926,1818.8806115879531,1813.7805536310802,1820.193455996104,1839.2856411851872,1859.014000521823,1879.6072951208282,1901.9955590483178,1907.151364396613,1891.896370154708,1887.9261065757798,1893.1930600362016,1902.7119603834703,1897.363732588627,1877.661949,1881.163031436133,1895.3521741250004,1926.0298813637944,1948.1466553621694,1968.8475915057693,1975.3560801141684,1976.4913026165452,1980.5974456340489,1974.2345314245265,1977.0018323718907,1970.060506445287,1985.4985512152057,1995.8486281855448,2007.299685780442,2014.8209255723834,2010.2564919159365,2009.6911780230957,2014.8966517525562,2016.9174529077072,2021.6220693105877,2008.0318702741931,2004.9044584401897,1987.0240355730848,1989.3174506517073,2000.721646991249,2007.1180292449799,2012.1847028111488,2012.0722316920655,2027.1905802633141,2037.7683422625796,2043.5011291436113,2061.5913208320217,2081.1561244125814,2098.142093970248,2094.574142910452,2089.370348045647,2099.001733927564,2131.129136998663,2154.0093844505177,2185.3103844296243,2194.767715148527,2220.6837220866564,2232.603520694043,2241.2310404554564,2235.024056979932,2228.3583392677806,2225.651757407661,2250.4749326411156,2266.9341358660527,2287.6581310882543,2280.8958667047045,2310.564127975019,2337.2074149562895,2366.511729,2372.5805286551317,2387.7697221414332,2404.4764545122816,2399.578946201558,2394.7701048677714,2410.9194795305184,2434.724868,2491.1699407389883,2513.988616884603,2527.268921,2512.1508274470466,2500.516058239639,2507.5752942665954,2495.8577565383553,2486.5679179195968,2506.6258653170953,2538.340823840288,2568.450657662386,2571.928047138047
1252,29,Nassau County,county,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",36,059,2168.840513523756,2209.031447252945,2207.234453377506,2242.6442286512547,2233.7588716048995,2257.731125548447,2267.9896044114657,2279.8348277121763,2264.3591062491646,2266.7846847992487,2267.4459513774996,2290.4199716339767,2288.7078660937805,2295.7250973456516,2299.624426,2327.4813325014015,2348.4980235036273,2364.5650634889457,2352.9791775977974,2356.244937996027,2371.857883510727,2366.0670642226255,2360.305956171902,2332.147714951479,2353.7122272754877,2373.4897298891524,2402.3367553366515,2419.720221120637,2445.6945879675714,2446.335555085752,2458.193735027825,2453.6902528983587,2473.446980145178,2455.0153509880734,2451.656128587827,2451.565632281959,2467.9076219762055,2478.882377,2491.471830088104,2516.926961663054,2525.0475330168742,2537.3660468959138,2540.8722818925817,2564.7215710803666,2551.3619391796606,2532.5290518844645,2528.2038090344045,2546.556153378183,2554.0700602503607,2574.671041260199,2589.139646742842,2619.5588300334152,2618.476307933162,2636.923564,2638.508160090976,2636.4021517052574,2607.9231682844306,2590.7384515232507,2591.316734498248,2617.6756,2636.336237390359,2664.2238446495207,2656.2210143105663,2683.026814307581,2691.6976689756184,2721.166657837501,2726.8999774740364,2725.4586729350726,2731.6837277040686,2729.429222866196,2723.5211210447874,2717.1108435050933,2729.8476352295665,2759.599903762387,2776.8916463195746,2803.830850546696,2827.095116767331,2872.2898297151237,2895.1538670286873,2906.707762221635,2902.308387946415,2899.9718149781284,2908.0141101516992,2915.199048209075,2948.8193400014916,2987.6307080946694,3052.1333440533294,3087.162612862115,3099.339141127697,3111.252903858964,3125.0101721852902,3132.976667323347,3096.9034918846005,3086.1763504124883,3086.4254355461303,3101.3467035246176,3096.623264913527,3127.124729123939,3192.505189806828,3237.2155085507834,3264.0153996732347,3284.6450050349536,3285.3764795469865,3269.9515093853483,3237.7398609756556,3249.4845035504873,3249.279605267674,3270.029436106163,3314.5093323676792,3342.5133492372856,3379.2181334839934,3373.571941,3425.214141294776,3438.2318380910524,3445.269488919509,3422.780935657861,3402.4948825681504,3396.5475093635337,3399.2050149112656,3431.300817966365,3457.4160046207267,3469.5476979775717
3148,48,Westchester County,county,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",36,119,2004.600602744495,2021.622990867657,2041.2989056933593,2041.6392334891289,2044.8022885737064,2049.6087159088183,2054.5286685853353,2059.890826123655,2061.530758530146,2050.573739157483,2045.9316262296106,2036.8254428557161,2055.605870523838,2053.157998093916,2074.0972324106533,2096.654958463936,2121.1400519643234,2119.540895006492,2114.0897652510066,2119.3768049928412,2117.776654189504,2101.359888510654,2102.9047783016904,2117.6042230864696,2128.0551353880805,2139.9898982581904,2147.711002837821,2174.0193852240277,2186.7989878313415,2194.1618400980415,2201.7394116388814,2193.1073913219884,2199.5492109297707,2187.946136657314,2196.898091419118,2201.594939057241,2196.102870928372,2205.999848035663,2210.9496415638964,2227.9921680742036,2227.5166113334953,2233.540279,2246.3194928673333,2249.5108748273105,2263.175951936171,2266.9953273903634,2264.0789852973735,2239.6492644353857,2248.1550890710805,2273.807508706413,2297.760609670393,2294.798758444037,2293.3808679246386,2298.4204325422506,2319.981808213944,2326.718714093206,2342.707679960547,2321.925537,2321.063748669454,2311.468014414991,2326.591954055128,2331.361935616583,2342.061325094065,2357.6311893004004,2366.264879331479,2378.3827191349283,2382.524243119829,2392.8774241799224,2396.4938226477902,2395.4405686505893,2409.7358059684934,2402.8775028331584,2404.952839549355,2403.3869882618783,2425.6296318337263,2454.442908165872,2457.737438930912,2470.154453408782,2483.8492166518217,2511.4124316749926,2513.973731579795,2518.3291753322083,2524.1843619843144,2552.7202448420653,2565.7283440747474,2584.7644755760275,2593.5285668303177,2623.869719422235,2652.246867403762,2699.225207098828,2733.2245433930016,2748.0190781809706,2746.485886790843,2710.421956831015,2706.3489170564135,2672.8664403314997,2685.6675173629765,2689.8966933965507,2743.841935490567,2776.2902731656427,2796.339212408455,2803.854663748442,2817.0309276214266,2834.191762349576,2831.0854565818445,2822.1898704793784,2805.7814363383254,2809.575938799374,2834.7976972546494,2852.954713097888,2864.852904478297,2877.719182306931,2892.2064010120143,2914.265079432148,2904.2445441734017,2909.617519667216,2905.951712783221,2901.77834,2923.141941103546,2925.6733143636525,2958.7363150301717,2963.1803332360855
2511,143,Richmond County,county,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",36,085,,1478.9393458593115,1499.2964615449102,1513.7845651222717,1527.454400760953,1495.8834265589796,1506.9094948750485,1492.5127194012157,1502.5836042965714,1491.4537437737235,1514.0720732972968,1570.2133625138351,1602.1003760380986,1593.1344386305166,1548.7926380396748,1581.9983923244906,1595.8768044782678,1623.969222391029,1606.014417185673,1582.7885215298095,1595.012215962476,1583.7488046126755,1641.8552340717056,1680.3303418027415,1731.6618131303378,1716.1115354971412,1695.4255020097767,1660.5667351169402,1682.4466083673533,1716.1285933523434,1725.8056175218144,1703.7100325723268,1704.500795697955,1741.452993942965,1765.2760080721207,1727.6497093123862,1737.6517731476515,1739.4379713159317,1757.8280815027276,1760.4890463554389,1763.401694654505,1792.9084143659545,1824.2298661457542,1856.763321939811,1866.8890426207045,1854.322355,1832.4339090649917,1831.5023795867578,1802.4469018169352,1812.2858103923131,1813.1309405416393,1839.987975314224,1862.3864849097774,1876.9989975775609,1898.7824051542489,1895.107560803559,1902.2531956616094,1894.7070033966602,1895.910244420829,1872.584448709687,1867.8903746186752,1891.5857275910673,1930.6512031453112,1951.7647622571099,1976.8582901203993,1964.844474413391,1979.108608558547,1954.3353582523296,1968.3090649135283,1971.4427084389924,1989.3933057031834,1982.0283027155945,1968.007236438922,1946.8703167566555,1960.3737614332508,1950.3365675250052,1974.6573565214264,1993.7501506679234,2046.253911404675,2040.1889064007876,2036.3998427262954,2031.3459493409364,2064.5246036777953,2072.5279927854876,2066.5892958789614,2054.5394147739694,2060.3545012396403,2083.6166806690717,2121.0496788487535,2155.8302184861236,2191.314989347724,2184.102770634015,2194.6577611221865,2196.293984434175,2231.517090469891,2243.183342,2251.322292595701,2230.9670312518842,2239.7760203418557,2239.9664184187986,2248.745739557389,2266.8421496438186,2312.317192737643,2344.047762184913,2371.5806685065686,2334.6928714984533,2344.319007542981,2318.632047849732,2359.0991521516153,2379.485337428122,2436.1994316128416,2437.8938861417705,2469.1569000293184,2469.6206214920608,2493.721474917179,2500.7300687544516,2488.8707171884485,2496.0810641141925,2484.3718582855327,2535.886731326266,2569.884263647134,2598.828707495374
2515,211,Rockland County,county,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",36,087,1650.3095652281152,1643.8461383513345,1648.6644722169779,1672.2219580832455,1679.6303963826572,1690.0524148842899,1687.678356701818,1701.5714676870618,1706.198494703901,1723.7634636569196,1744.1210552238017,1758.5757536155406,1725.176653,1708.278460289197,1707.857589088066,1738.690811913559,1751.4680725779506,1756.6751049601814,1759.7242431513814,1785.8908545647098,1784.9728250788344,1776.5667498397122,1751.083905340553,1767.4366723474493,1790.8575452327455,1824.2682210075823,1822.8474272038081,1811.7199253118965,1811.8433610005632,1815.889585132915,1827.3513797921025,1819.1552019730013,1829.5069861820425,1809.365802032138,1810.1439241175808,1818.7303342632042,1848.7476018171237,1861.8429539668325,1852.7491864411625,1859.2258422576306,1860.9620659576078,1883.6568920831885,1873.8295951206383,1861.6593968722862,1853.953764994408,1865.065132808746,1879.8146268367773,1879.7249657862217,1893.1899423018863,1921.043888727437,1938.467913853856,1947.7588662538642,1959.827911227082,1974.176248272425,1966.3262891640102,1952.2933926354851,1936.7101835446954,1934.462924620168,1939.7460564423989,1946.4477761651715,1977.3131764031118,1981.7370296741014,2008.393808152692,2026.570717915675,2033.3287644430077,2032.854858931694,2002.7591204342318,2014.9418778979798,2003.3016901633669,2081.429754815362,2083.9802073678798,2103.6272027838913,2049.780644468783,2083.045576766597,2125.3419757999736,2170.8336318911756,2231.951031161454,2230.4603502004015,2247.077337403011,2251.801796219048,2311.3029356387237,2334.431167992054,2327.719642537951,2317.4694145032668,2321.114693432155,2345.1601351804875,2364.682855232286,2378.489369715562,2413.485561,2445.5597157833367,2531.688575391658,2529.431569968067,2526.968495504239,2506.442871936977,2527.026216329955,2562.276172179886,2578.554571407645,2623.821653261344,2702.609190363139,2709.956528299215,2694.2874233998878,2629.2137008236705,2649.960774079401,2646.8800079136367,2651.134903109067,2655.6220501316825,2672.567524430129,2712.2602681693857,2710.9896199534624,2736.046522425202,2717.2354262114554,2731.483721274207,2761.4663896183965,2792.898777,2802.5652675463157,2786.892109541678,2776.149467370671,2771.2604103139042,2747.6312778678353,2730.632201932154,2715.9310935334465,2735.8025252525254
1343,620,Putnam County,county,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",36,079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400.083078111926,2406.4941821065245,2440.8831654514747,2490.8129890507403,2453.8070418541956,2495.479531240128,2562.5505080366424,2681.3963921999602,2596.1270610021766,2478.4579669640398,2418.1255041515415,2443.194837992734,2506.513196595698,2516.1320214434168,2573.1582731677845,2587.3705232834554,2596.8413494929105,2652.229235222714,2728.0482392363697,2770.248994121754,2769.7896513861774,2723.362817,2721.475523946265,2675.043027267602,2756.023479,2817.0833333333335
